Item Name,Ideal_Meal_Time,State/Texture,Cost,Veg/Non-Veg,Allergies,Pairing_Tag,Serving Size (Child),Calories (kcal),Carbs (g),Protein (g),Fat (g),Fiber (g),Health_Benefit,Base_Type_Tag
Milk Hopper (Kiri Appa),Breakfast;Dinner,Crispy/Creamy,Med,Veg,Dairy,Plain;Jaggery,1 piece,110,18,2.0,3.0,0.5,Weight Gain,Hopper
White Rice Pittu,Breakfast;Dinner,Dry Crumbly,Med,Veg,,Coconut Milk;Tripe/Meat,0.5 cup (80g),150,30,3.0,2.0,1.5,Dense Energy,Pittu
Red Rice Pittu,Breakfast;Dinner,Dry Crumbly,Med,Veg,,Coconut Milk;Fish,0.5 cup (80g),160,32,3.5,2.5,3.0,Sustained Energy,Pittu
Kurakkan Pittu,Breakfast;Dinner,Dry Crumbly,Med,Veg,,Coconut Milk;Banana,0.5 cup (80g),155,29,4.0,2.0,3.5,Bone Health; Iron,Pittu
Pol Roti (Coconut),Breakfast;Dinner,Chewy Dense,Low,Veg,Gluten,Dhal;Mild Sambol,0.5 small roti,130,15,3.0,6.0,2.0,High Satiety,Roti
Wheat Roti (Godamba),Breakfast;Dinner,Soft Chewy,Low,Veg,Gluten,Meat Curry;Dhal,1 small roti,120,20,3.5,3.0,1.0,Easy to Wrap,Roti
Paratha (Frozen/Pan),Breakfast;Dinner,Flaky Soft,Med,Veg,Gluten,Meat Curry;Peas,0.5 paratha,160,18,3.0,8.0,1.5,High Calorie,Roti
Sliced Bread (White),Breakfast;Snack,Soft Spongey,Low,Veg,Gluten,Butter;Jam;Dhal,1 slice (30g),80,15,2.5,1.0,0.8,Quick Energy,Bread
Roast Paan,Breakfast;Dinner,Crispy Crust/Soft,Low,Veg,Gluten,Dhal;Coconut Sambol,1 slice (35g),95,18,3.0,1.0,1.0,Crunchy Texture,Bread
Whole Wheat Bread,Breakfast;Snack,Soft Grainy,Med,Veg,Gluten,Butter;Cheese;Dhal,1 slice (30g),75,13,3.5,1.0,2.0,Digestion,Bread
Tea Bun (Banish),Tea Time;Snack,Soft Sweet,Low,Veg,Gluten;Dairy,Butter;Milk Tea,1 small bun,150,25,3.0,4.0,1.0,Snack Base,Bread
Rice Noodles,Breakfast;Dinner,Soft Stringy,Med,Veg,,Mild Curry;Stir-fry,0.5 cup cooked,100,22,2.0,0.2,0.5,Gluten-Free Alternative,Noodles
Wheat Noodles,Breakfast;Dinner,Soft Stringy,Low,Veg,Gluten,Veg Stir-fry;Egg,0.5 cup cooked,110,20,4.0,0.5,1.5,Kid Favorite,Noodles
Macaroni Pasta,Lunch;Dinner,Soft Tubes,Med,Veg,Gluten,Cheese;Tomato Sauce,0.5 cup cooked,110,21,4.0,0.5,1.5,Interactive Shapes,Noodles
Chickpea Pasta,Lunch;Dinner,Soft Tubes,High,Veg,,Tomato Sauce;Cheese,0.5 cup cooked,130,18,8.0,1.5,4.0,High Protein Base,Noodles
Boiled Manioc (Cassava),Breakfast;Tea Time,Dense Starchy,Low,Veg,,Scraped Coconut;Sambol,0.5 cup (80g),130,30,1.0,0.2,1.5,High Calorie Energy,RootCrop
Boiled Sweet Potato,Breakfast;Tea Time,Soft Sweet,Low,Veg,,Plain;Scraped Coconut,0.5 cup (80g),70,16,1.2,0.1,2.5,Vitamin A; Fiber,RootCrop
Boiled Potato,Breakfast;Snack,Soft Mashable,Med,Veg,,Butter;Cheese;Fish,0.5 cup (80g),70,15,1.5,0.1,1.5,Versatile Base,RootCrop
Boiled Innala (Chinese Potato),Breakfast;Tea Time,Firm Starchy,Med,Veg,,Mild Spices;Coconut,0.5 cup (80g),80,18,1.5,0.1,2.0,Gut Health,RootCrop
Boiled Kiri Ala (Taro),Breakfast;Tea Time,Soft Creamy,Med,Veg,,Coconut Milk,0.5 cup (80g),90,20,1.5,0.2,2.5,Energy,RootCrop
Boiled Breadfruit (Del),Breakfast;Tea Time,Dense Starchy,Low,Veg,,Coconut;Sugar,0.5 cup (80g),85,20,1.0,0.2,4.0,Filling Fiber,RootCrop
Boiled Jackfruit (Kos),Breakfast;Lunch,Chewy Firm,Low,Veg,,Coconut;Sambol,0.5 cup (80g),80,19,1.5,0.3,3.0,Gut Motility,RootCrop
Lunu Kenda (Rice Congee),Breakfast;Snack,Watery Soft,Low,Veg,,Garlic;Ginger,1 cup,90,20,2.0,0.2,0.5,Hydration; Sick Days,Porridge
Red Rice Congee,Breakfast;Snack,Watery Grainy,Low,Veg,,Gotu Kola;Jaggery,1 cup,95,21,2.0,0.3,1.5,Recovery,Porridge
Kurakkan Kanda,Breakfast,Thick Liquid,Med,Veg,,Jaggery,1 cup,120,25,3.0,0.5,2.5,Bone Density,Porridge
Oats Porridge,Breakfast,Thick Creamy,Med,Veg,Gluten;Dairy,Fruits;Honey,0.5 cup cooked,110,18,4.0,2.5,3.0,Heart/Gut Health,Porridge
Sago (Sabu) Porridge,Breakfast;Snack,Jelly-like,Low,Veg,Dairy,Jaggery;Cashew,0.5 cup cooked,130,28,1.0,1.5,0.2,Cooling Body,Porridge
Rulang (Semolina) Upma,Breakfast,Soft Crumbly,Med,Veg,Gluten,Sugar;Banana,0.5 cup,140,22,4.0,4.0,1.0,Quick Carbs,Porridge
Corn on the Cob (Boiled),Snack;Tea Time,Crunchy/Chewy,Low,Veg,,Butter;Salt,0.5 cob,85,18,3.0,1.0,2.0,Fun to eat,Snack
Boiled Chickpeas (Kadala),Breakfast;Tea Time,Firm Chewy,Low,Veg,,Coconut bits,0.5 cup,135,22,7.0,2.0,6.0,Protein/Fiber Base,Legume
Boiled Green Gram (Mung),Breakfast;Tea Time,Soft Grainy,Low,Veg,,Coconut;Jaggery,0.5 cup,105,19,7.0,0.4,4.0,Plant Protein,Legume
Boiled Cowpea,Breakfast;Tea Time,Firm Chewy,Low,Veg,,Coconut;Lunu Miris,0.5 cup,100,18,6.0,0.5,4.5,Iron & Energy,Legume
Kothu Roti (Plain Veg),Dinner,Chewy Mixed,Low,Veg,Gluten,Mild Gravy,0.5 cup,180,22,4.0,8.0,2.0,High Calorie,Roti
Manioc Pittu,Breakfast;Dinner,Crumbly Dense,Low,Veg,,Coconut Milk,0.5 cup,140,30,1.5,1.0,2.0,Gluten-Free Energy,Pittu
Diya Bath,Breakfast,Watery Soft,Low,Veg,Dairy,Curd;Red Onion,1 cup,110,20,3.0,1.5,0.5,Probiotic Base,Porridge
Halapa (Wrapper base),Tea Time;Snack,Sticky Chewy,Med,Veg,,Sweet Fillings,1 small,130,25,2.5,1.5,3.0,Iron; Calcium,Snack
Lavariya (String Hopper Base),Tea Time;Snack,Soft Sweet,Med,Veg,,Pani Pol (Sweet Coconut),1 piece,140,28,2.0,2.0,1.5,Sweet Base,Snack
Aggala (Roasted Rice Balls),Tea Time;Snack,Firm Dry,Low,Veg,,Tea;Milk,2 small balls,160,32,3.0,2.0,1.0,Energy Snack,Snack
Mashed Potato & Carrot,Lunch;Dinner,Smooth Mash,Med,Veg,Dairy,Chicken;Fish,0.5 cup,110,18,2.0,3.5,2.5,Vitamin A,RootCrop
Rice Flour Pancake (Appam),Breakfast,Soft Spongy,Low,Veg,,Banana;Honey,1 small,90,18,1.5,1.0,0.5,Light Breakfast,Snack
Whole Wheat Chapati,Breakfast;Dinner,Chewy Flat,Med,Veg,Gluten,Dhal;Paneer,1 small,100,18,3.0,1.5,2.0,Complex Carbs,Roti
Toasted Bread Strips,Snack,Crispy Hard,Low,Veg,Gluten,Soup;Dhal,2 strips,70,13,2.0,1.0,0.8,Teething/Crunchy,Bread
Vermicelli (Sewiya) Upma,Breakfast,Soft Stringy,Med,Veg,Gluten,Sugar;Milk,0.5 cup cooked,130,24,3.0,2.5,1.0,Fast Energy,Noodles
Wandu Appa,Tea Time;Snack,Spongy Sweet,Med,Veg,,Plain,1 piece,120,25,2.0,1.0,1.5,Steamed Snack,Snack
Pancake (Sri Lankan style),Tea Time;Snack,Soft Thin,Low,Veg,Gluten;Egg,Pani Pol;Sugar,1 roll,140,20,4.0,5.0,1.0,Kid Favorite,Snack
Steamed Rice Balls (Guli),Lunch;Dinner,Sticky Firm,Low,Veg,,Mild Curries,3 small balls,130,28,2.5,0.2,0.5,Finger Food Base,Rice
Yellow Noodles (Egg),Lunch;Dinner,Soft Stringy,Med,Non-Veg,Gluten;Egg,Stir-fry Veg,0.5 cup cooked,120,18,5.0,2.0,1.5,Protein Base,Noodles
Savoury Oats (Oat Upma),Breakfast,Thick Grainy,Med,Veg,Gluten,Carrots;Peas,0.5 cup cooked,115,17,4.0,3.0,3.0,Hearty Breakfast,Porridge
Coconut Rice (Pol Bath),Lunch;Dinner,Fluffy Oily,Med,Veg,,Chicken;Sambol,0.5 cup,160,25,2.5,5.5,1.5,High Fat,Rice
Savory French Toast (Base),Breakfast;Snack,Soft Spongy,Low,Non-Veg,Gluten;Egg,Ketchup,1 slice,130,14,6.0,5.0,1.0,Quick Protein Base,Bread
